ISBN,Title,Author,Year,Publisher,stemmed_title,lemmatized_title,Title_stem,Author_stem,Publisher_stem,Year_stem
0023705027,Teaching Special Students in the Mainstream,Rena B. Lewis,1994,Prentice Hall,teach special student in the mainstream,teach special student in the mainstream,in the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0393049035,The Art of Spelling: The Madness and the Method,Marilyn Vos Savant,2000,W.W. Norton & Company,the art of spell : the mad and the method,the art of spell : the mad and the method,of : and the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
342671146X,Eisenhand.,Lindsey Davis,1998,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co.",eisenhand .,eisenhand .,.,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0843138130,Wee Sing Silly Songs,Pamela Conn Beall,1994,Price Stern Sloan,wee sing silli song,wee sing silli song,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1573441120,Best Gay Erotica 2001 (Best Gay Erotica),Richard Labonte,2000,Cleis Press,best gay erotica 2001 ( best gay erotica ),best gay erotica 2001 ( best gay erotica ),2001 ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1575860538,"The Media Equation : How People Treat Computers, Television, and New Media like Real People and Places (CSLI Lecture Notes S.)",Byron Reeves,1998,The Center for the Study of Language and Information Publications,"the media equat : how peopl treat comput , televis , and new media like real peopl and place ( csli lectur note s . )","the medium equat : how peopl treat comput , televis , and new medium like real peopl and place ( csli lectur note s . )",": , , and like and ( . )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0962478415,Cooking for a Healthier Ever After,Susan Stevens,1990,Healthmark,cook for a healthier ever after,cook for a healthier ever after,for a,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0590483404,"A Shocker on Shock Street (Goosebumps, No 35)",R. L. Stine,1995,Scholastic,"a shocker on shock street ( goosebump , no 35 )","a shocker on shock street ( goosebump , no 35 )","on ( , 35 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
089107760X,"Always in September (Seasons of Intrigue, Book 1)",Doris Elaine Fell,1994,Good News Pub,"alway in septemb ( season of intrigu , book 1 )","alway in septemb ( season of intrigu , book 1 )","in ( of , 1 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0517635488,Instant Guide to Seashells (Instant Guide.),PAMELA FOREY,1988,Gramercy,instant guid to seashel ( instant guid . ),instant guid to seashel ( instant guid . ),to ( . ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0373612230,"Fall Back And Kill (Able Team, No 23)",Dick Stivers,1986,Gold Eagle,"fall back and kill ( abl team , no 23 )","fall back and kill ( abl team , no 23 )","( , 23 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0918346207,"EPICA's 30th Anniversary Anthology, Volume II, We Make The Road By Walking",Ann Butwell,1998,Epica Task Force,"epica 's 30th anniversari antholog , volum ii , we make the road by walk","epica 's 30th anniversari antholog , volum ii , we make the road by walk","'s 30th , ,",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
3596118085,Verdammt in alle Ewigkeit. Roman.,James Jones,1993,"Fischer (Tb.), Frankfurt",verdammt in all ewigkeit . roman .,verdammt in all ewigkeit . roman .,in . .,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3401025279,"Zeit zu hassen, Zeit zu lieben. Die Bienmann- Saga. ( Ab 12 J.).",Willi FÃ?Â¤hrmann,1994,Arena,"zeit zu hassen , zeit zu lieben . die bienmann- saga . ( ab 12 j . ) .","zeit zu hassen , zeit zu lieben . die bienmann- saga . ( ab 12 j . ) .","zu hassen , zu lieben . . ( 12 . ) .",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0312890265,Out of the House of Life,Chelsea Quinn Yarbro,1994,Orb Books,out of the hous of life,out of the hous of life,of the of,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1585675458,Old Boys,Charles McCarry,2004,Overlook Press,old boy,old boy,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
0330355783,Storms Over Africa,Bev Harper,0,Pan Macmillan Australia Pty Ltd,storm over africa,storm over africa,,,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0836225880,Psi Factor: Chronicles of the Paranormal,Dan Aykroyd,1997,Andrews McMeel Pub,psi factor : chronicl of the paranorm,psi factor : chronicl of the paranorm,: of the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0679768858,Home: American Writers Remember Rooms of Their Own,Sharon Sloan Fiffer,1996,Vintage Books USA,home : american writer rememb room of their own,home : american writer rememb room of their own,: of,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0523485336,Starship,Poul Anderson,1982,Tor Books,starship,starship,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
053408172X,Cognition: Theory and Applications (Experimental Psychology Series),Stephen K. Reed,1988,Brooks/Cole Publishing Company,cognit : theori and applic ( experiment psycholog seri ),cognit : theori and applic ( experiment psycholog seri ),: and ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0878770666,Energy Ecstasy & Your Seven Vital Chakras,Bernard Gunther,1983,Newcastle Publishing Co,energi ecstasi & your seven vital chakra,energi ecstasi & your seven vital chakra,&,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0520217047,Speaking With Vampires: Rumor and History in East and Central Africa (Studies on the History of Society and Culture),Luise White,2000,University of California Press,speak with vampir : rumor and histori in east and central africa ( studi on the histori of societi and cultur ),speak with vampir : rumor and histori in east and central africa ( studi on the histori of societi and cultur ),: and in and ( on the of and ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
067168938X,PILLARS OF FIRE,Steve Shagan,1990,Pocket,pillar of fire,pillar of fire,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0156391252,Harvest Poems: 1910-1960,Carl Sandburg,1960,Harvest Books,harvest poem : 1910-1960,harvest poem : 1910-1960,: 1910-1960,,,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0060911700,In My Mother's House (Harper Colophon Books),Kim Chernin,1984,Perennial,in my mother 's hous ( harper colophon book ),in my mother 's hous ( harper colophon book ),'s ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0471507725,Designing and Writing Online Documentation: Help Files to Hypertext,William K. Horton,1990,John Wiley & Sons Inc,design and write onlin document : help file to hypertext,design and write onlin document : help file to hypertext,and : to,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0373292627,Winning Jenna's Heart,Charlene Sands,2003,Harlequin,win jenna 's heart,win jenna 's heart,'s,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1573221368,Tipping the Velvet,Sarah Waters,1999,Riverhead Books,tip the velvet,tip the velvet,the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
076130715X,People Chase Twisters (I Didn't Know That),Kate Petty,1998,Copper Beech Books,peopl chase twister ( i did n't know that ),peopl chase twister ( i did n't know that ),( n't ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0804112487,A Motive for Murder,Gallagher Gray,1996,Fawcett Books,a motiv for murder,a motiv for murder,for,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0312856660,The Remake: As Time Goes by,Stephen Humphrey Bogart,1997,St Martins Pr,the remak : as time goe by,the remak : a time goe by,: by,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0446341622,Contract on the President,John Crosby,1986,Warner Books,contract on the presid,contract on the presid,on the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
089565685X,One Tricky Monkey Up on Top (Magic Castle Readers Math),Jane Belk Moncure,1988,Child's World,one tricki monkey up on top ( magic castl reader math ),one tricki monkey up on top ( magic castl reader math ),on ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0898401003,I just saw Jesus,Paul Eshleman,1985,Here's Life Publishers,i just saw jesu,i just saw jesu,just saw,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0452263123,The King of the Fields,Isaac Bashevis Singer,1989,Penguin USA,the king of the field,the king of the field,of the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0870672746,M.I.A.: Saigon,W.J. Amos,1986,Holloway House Publishing Company,m.i.a . : saigon,m.i.a . : saigon,. :,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0679437460,Ordinary Life: Stories,ELIZABETH BERG,2002,Random House,ordinari life : stori,ordinari life : stori,:,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
0595173640,Behind the Little House,William Penniman,2001,Writers Club Press,behind the littl hous,behind the littl hous,the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0373710674,"The Wildcatter (Harlequin Superromance, 1067)",Peggy Nicholson,2002,Harlequin,"the wildcatt ( harlequin superrom , 1067 )","the wildcatt ( harlequin superrom , 1067 )","( , 1067 )",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
0460022628,Enter the Saint,Leslie Charteris,1988,Orion Publishing Co,enter the saint,enter the saint,the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0060804955,The Sad Variety,Nicholas Blake,1979,Harpercollins,the sad varieti,the sad varieti,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2070371476,Le Marin rejetÃ?Â© par la mer,Yukio Mishima,1979,Gallimard,le marin rejetã ? â© par la mer,le marin rejetã ? â© par la mer,? par la mer,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0590317822,Just Plain Cat,Nancy K Robinson,1981,Scholastic Inc,just plain cat,just plain cat,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0672518015,"Yoga for children,",Erene Cheki Haney,1973,Bobbs-Merrill,"yoga for children ,","yoga for child ,","for children ,",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0312118775,Polmena Cove,Mary Lide,1995,St Martins Pr,polmena cove,polmena cove,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0879757647,Uncovering the Past: A History of Archaeology,"William H., Jr. Stiebing",1993,Prometheus Books,uncov the past : a histori of archaeolog,uncov the past : a histori of archaeolog,the : of,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2070403963,L'allumeuse d'Ã?Â©toiles,HervÃ?Â© Jaouen,1998,Gallimard,l'allumeus d ' ã ? â©toil,l'allumeus d ' ã ? â©toil,d ' ?,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
0449906825,Rebels: The Irish Rising of 1916,Peter De Rosa,1992,Ballantine Books,rebel : the irish rise of 1916,rebel : the irish rise of 1916,: of 1916,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0373441940,What Phoebe Wants (Flipside),Cindi Myers,2004,Harlequin,what phoeb want ( flipsid ),what phoeb want ( flipsid ),( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
0140374388,Oddballs: Stories,William Sleator,1995,Puffin Books,oddbal : stori,oddbal : stori,:,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0525095772,The Drowning Season,Alice Hoffman,1979,Penguin USA,the drown season,the drown season,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3596237254,Frauen-Sprache,S. Tromel-Plotz,0,Fischer Taschenbuch Verlag GmbH,frauen-sprach,frauen-sprach,,,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0380008327,Henderson the Rain King,Saul Bellow,0,Avon Books,henderson the rain king,henderson the rain king,the,,,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0345321278,Viet Vet Survival Guide: How to Cut Through the Bureaucracy and Get What You Need-And Are Entitled to,Craig Kubey,1985,Ballantine Books,viet vet surviv guid : how to cut through the bureaucraci and get what you need-and are entitl to,viet vet surviv guid : how to cut through the bureaucraci and get what you need-and are entitl to,: to the and to,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0192816691,Ruth (World's Classics),Elizabeth Cleghorn Gaskell,1985,Oxford University Press,ruth ( world 's classic ),ruth ( world 's classic ),( 's ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0811832686,The Nature of the Chinese Character: Gifts from the Earth,Barbara Aria,2001,Chronicle Books,the natur of the chines charact : gift from the earth,the natur of the chine charact : gift from the earth,of the : from the,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0449911969,The Thanatos Syndrome,Walker Percy,1996,Ballantine Books,the thanato syndrom,the thanato syndrom,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3499608553,Das Elternbuch 5. Unser Kind im 5. Lebensjahr.,Ulrich Diekmeyer,2000,Rowohlt Tb.,da elternbuch 5 . unser kind im 5 . lebensjahr .,da elternbuch 5 . unser kind im 5 . lebensjahr .,5 . im 5 . .,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
8426327346,Los Espejos Venecianos,Joan Manuel Gisbert,1993,Luis Vives Editorial,lo espejo veneciano,lo espejo veneciano,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0823410994,Finn's Search,Eileen Dunlop,1994,Holiday House,finn 's search,finn 's search,'s,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0590412515,Adventures in Babysitting (Point),Elizabeth Faucher,1987,Scholastic,adventur in babysit ( point ),adventur in babysit ( point ),in ( ),,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
